WDPAID,WDPA_PID,NAME,unique_id,area_km2,STATUS_YR,iucnCatOrd,IUCN_CAT,DESIG_ENG,GIS_AREA,Continent,Country,own_pa_id,functional_biome_num,nitrogen_depo,olson_biome_num,human_modification,climatic_region_num,MaxTemp,elevation,MAT,MAP,BurnedAreaMean,EVI,climatic_region,olson_biome,functional_biome,land_cover,PaAge
100838,100838,Mastic Reserve,NA_100838,3.4985442681328,1992,3,II,Mastic Reserve,3.51695925150894,"","",68,20,259.466735839844,14,0.418807506561279,3,29.6966342926025,8.85401821136475,26.8648338317871,99.9367370605469,0,4189.1875,Tropical,Mangroves,SMN,ClosedForestEvergreenBroad,31
100839,100839,'Parco nazionale dell'' Asinara',NA_100839,51.7369442535433,1997,3,II,National Park,51.7369444698557,"","",69,8,865.928771972656,12,0.263535290956497,8,26.3176231384277,74.174919128418,17.1654224395752,49.6765747070313,0,2901.9951171875,Temperate,"Mediterranean Forests, Woodlands & Scrub",SMD,Shrubs,26
1009,1009,Katmai Bay,United States of America_1009,14669.0654881566,1980,3,II,National Park,14621.6810850326,North America,United States of America,74,4,75.7377777099609,6,5.88661459914874e-05,27,17.9230613708496,445.476654052734,1.38601994514465,210.15397644043,8.75165205798112e-05,1241.55285644531,Cold,Boreal Forests/Taiga,TLC,HerbacousVeg,43
101,101,Bosque Fray Jorge,Chile_101,87.1582299588488,1941,3,II,National Park,87.2445999738161,South America,Chile,76,7,119.782836914063,12,0.159466281533241,5,26.8603076934815,305.075103759766,15.0247402191162,10.1678771972656,0,1406.44311523438,Arid,"Mediterranean Forests, Woodlands & Scrub",SLD,Shrubs,82
10110,10110,Bach Ma,Vietnam_10110,373.379572128212,1986,3,II,National Park,375.506450671279,Asia,Vietnam,87,24,1443.41662597656,1,0.208300232887268,2,32.7179756164551,505.472564697266,23.6723155975342,276.204986572266,0.00198306771926582,4269.8564453125,Tropical,Tropical & Subtropical Moist Broadleaf Forests,THN,ClosedForestEvergreenBroad,37
10113,10113,Ba Vi,Vietnam_10113,118.985085945742,2003,3,II,National Park,119.580866926291,Asia,Vietnam,117,12,2933.92333984375,1,0.424897253513336,11,32.4214363098145,338.765045166016,23.0028018951416,163.180099487305,0.000496885739266872,4183.10693359375,Temperate,Tropical & Subtropical Moist Broadleaf Forests,THD,ClosedForestEvergreenBroad,20
101136,101136,Río Viejo - San Camilo,Venezuela_101136,424.818610601073,1992,3,II,National Park (PN),426.621486803574,South America,Venezuela,124,12,821.837585449219,2,0.193569198250771,2,35.2144546508789,150.046112060547,26.4355239868164,176.206573486328,0.00752459047362208,4966.83935546875,Tropical,Tropical & Subtropical Dry Broadleaf Forests,THD,ClosedForestEvergreenBroad,31
101170,101170,Tlemcen,Algeria_101170,82.0109765286716,1993,3,II,National Park,82.2034761555899,Africa,Algeria,147,7,251.037963867188,12,0.666012227535248,7,33.2469482421875,1099.05786132813,14.4255247116089,48.035774230957,0.00684117386117578,2371.35107421875,Arid,"Mediterranean Forests, Woodlands & Scrub",SLD,OpenForestOther,30
101232,101232,Parc National d'Iriqui,Morocco_101232,1296.9023226295,1944,3,II,National Park,1296.90290501978,Africa,Morocco,160,19,81.4127578735352,13,0.0910194665193558,4,44.5074272155762,476.277862548828,26.2703342437744,5.10143327713013,0,595.994262695313,Arid,Deserts & Xeric Shrublands,SLN,Bare,79
101273,101273,Tanjung Datu National Park,NA_101273,10.240423689936,1994,3,II,National Park,10.3092059828719,"","",170,,412.447448730469,1,0.186629042029381,1,28.8998012542725,34.1088523864746,26.0726509094238,273.572265625,0.00229062838479877,4191.98193359375,Tropical,Tropical & Subtropical Moist Broadleaf Forests,"",ClosedForestEvergreenBroad,29
101394,101394,Mt. Guiting-Guiting Natural Park,NA_101394,155.265279748307,2018,3,II,Natural Park,156.214961257638,"","",185,21,529.663635253906,1,0.244015008211136,1,25.921875,689.227416992188,23.3053722381592,289.783355712891,4.87126612824795e-07,3724.4794921875,Tropical,Tropical & Subtropical Moist Broadleaf Forests,SHN,ClosedForestEvergreenBroad,5
101408,101408,Bowser Ecological Reserve,NA_101408,1.13084685927479,1996,1,Ia,Ecological Reserve,1.13083613214533,"","",188,23,441.301391601563,5,0.111862316727638,9,25.4578590393066,50.7125091552734,10.956413269043,150.491348266602,0,4213.828125,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
101411,101411,Sierra La Laguna,Mexico_101411,1125.08016054253,1994,1,Ia,Biosphere Reserve,1127.72443882264,North America,Mexico,190,7,79.8445739746094,3,0.14240987598896,6,32.2395629882813,904.284973144531,20.5255470275879,54.4334144592285,0,2885.09887695313,Arid,Tropical & Subtropical Coniferous Forests,SLD,OpenForestOther,29
101414,101414,Chamela-Cuixmala,Mexico_101414,131.527279663172,1994,1,Ia,Biosphere Reserve,131.918893418138,North America,Mexico,191,8,328.373931884766,2,0.244647532701492,3,31.3704566955566,143.49284362793,25.1621055603027,88.1008758544922,0.00149193510878831,4126.49951171875,Tropical,Tropical & Subtropical Dry Broadleaf Forests,SMD,ClosedForestEvergreenBroad,29
101421,101421,San Juan River Estuary Ecological Reserve,Canada_101421,1.45308969457242,1996,1,Ia,Ecological Reserve,1.45306532098808,North America,Canada,193,23,367.839172363281,5,0.07388836145401,15,19.0763530731201,15.2726802825928,9.86649131774902,266.600433349609,0.000143848999869078,3116.62353515625,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
101422,101422,Woodley Range Ecological Reserve,NA_101422,1.58148825540404,1996,1,Ia,Ecological Reserve,1.58148993576761,"","",194,23,518.633422851563,5,0.419017970561981,9,27.9881896972656,119.201057434082,10.8878307342529,92.8899688720703,0,3919.38208007813,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
101424,101424,Lugina e Valbones,Albania_101424,214.03223717992,1996,3,II,National Park (category II),214.032237475555,Europe,Albania,195,5,950.892456054688,4,0.143993437290192,26,23.4419784545898,1495.96520996094,6.44571542739868,194.705749511719,0.00259892060421407,2294.80639648438,Cold,Temperate Broadleaf & Mixed Forests,TMC,HerbacousVeg,27
101425,101425,Bredhi i Hotoves-Dangelli,Albania_101425,343.587071119615,2008,3,II,National Park (category II),343.58706850219,Europe,Albania,196,23,792.469665527344,12,0.225893422961235,8,30.1569633483887,877.576538085938,12.2406549453735,106.752967834473,5.00735222885851e-05,3182.18139648438,Temperate,"Mediterranean Forests, Woodlands & Scrub",TMN,ClosedForestDeciduousBroad,15
101434,101434,Vyanda,Burundi_101434,44.6760088646638,1980,2,Ib,Nature reserve,44.9740234328,Africa,Burundi,200,12,346.602935791016,7,0.364510774612427,3,26.5784206390381,1232.37854003906,22.1803188323975,188.936614990234,0.0143984351307154,3428.14526367188,Tropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",THD,ClosedForestOther,43
101474,101474,Kardhiqi,Albania_101474,18.0003242073275,1996,1,Ia,Strict Nature Reserve (category I),18.0003227744255,Europe,Albania,217,23,792.469665527344,12,0.151733443140984,9,26.2534942626953,1093.46911621094,11.4987087249756,133.418579101563,0.00679709343239665,2850.8662109375,Temperate,"Mediterranean Forests, Woodlands & Scrub",TMN,ClosedForestDeciduousBroad,27
101546,101546,Louis-Ovide-Brunet Ecological Reserve,Canada_101546,6.68657720012653,1989,1,Ia,Ecological Reserve,6.68657763520731,North America,Canada,222,5,380.207244873047,4,0.0261847693473101,26,25.3376750946045,293.110565185547,3.06740283966064,99.6912536621094,0,2927.50122070313,Cold,Temperate Broadleaf & Mixed Forests,TMC,ClosedForestMixed,34
101548,101548,Proposed Matamec (partie nord) Ecological Reserve,Canada_101548,542.129211429858,1993,1,Ia,Proposed ecological reserve,542.130137609629,North America,Canada,223,5,151.979934692383,6,0.00131686450913548,27,21.7055854797363,377.964935302734,0.706862032413483,115.727241516113,0.00676784617826343,2012.74084472656,Cold,Boreal Forests/Taiga,TMC,ClosedForestEvergreenNeedle,30
101571,101571,Los Mármoles,Mexico_101571,235.00247248318,1936,3,II,National Park,235.668991865377,North America,Mexico,225,11,1213.45715332031,3,0.188131287693977,12,26.4540901184082,1963.51342773438,15.4585123062134,88.0560150146484,0.0010013529099524,3328.05322265625,Temperate,Tropical & Subtropical Coniferous Forests,TMD,ClosedForestMixed,87
101590,101590,Tuktut Nogait National Park Of Canada,Canada_101590,18873.0051965734,1998,3,II,National Park,18873.0077958732,North America,Canada,227,13,28.387565612793,11,5.27571000930038e-06,27,17.305061340332,528.359680175781,-10.2868452072144,31.2829551696777,0.000560979417059571,420.421173095703,Cold,Tundra,SLB,HerbacousVeg,25
101596,101596,Big Creek Park,Canada_101596,679.72050626033,1995,3,II,A - Park,679.720311011971,North America,Canada,230,4,234.137237548828,5,0.00224690092727542,27,20.5829601287842,1823.60998535156,-0.2523173391819,57.9566192626953,0.000138623465318233,1627.51110839844,Cold,Temperate Conifer Forests,TLC,ClosedForestEvergreenNeedle,28
101597,101597_A,Bligh Island Marine Park,Canada_101597_A,16.517892161193,1995,3,II,A - Park,16.517891763924,North America,Canada,231,23,301.405151367188,5,0.00606142589822412,15,19.0408668518066,51.2701072692871,9.72091102600098,279.243774414063,0.00155253044795245,2827.16552734375,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101598,101598_A,Muqqiwn/Brooks Peninsula Park,Canada_101598_A,360.129958170174,1986,2,Ib,A - Park,360.129995346117,North America,Canada,232,23,292.601501464844,5,0.00119522318709642,15,19.9493103027344,320.254241943359,8.31306457519531,289.268768310547,0,3231.30712890625,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,37
101635,101635_A,Catala Island Marine Park,Canada_101635_A,2.58897576189179,1995,3,II,A - Park,2.58897590712785,North America,Canada,234,23,295.562164306641,5,2.4174150894396e-05,15,17.6745548248291,1.69189953804016,10.0053234100342,289.275329589844,0,2545.77758789063,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101637,101637,Cowichan River Park,Canada_101637,14.0827541302687,1995,3,II,A - Park,14.0828391708105,North America,Canada,235,23,441.322296142578,5,0.189994722604752,9,29.1985130310059,138.223693847656,10.2432985305786,128.413238525391,0,3803.25561523438,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101638,101638,Cummins Lakes Park,Canada_101638,218.265839416835,1995,2,Ib,A - Park,218.265588561028,North America,Canada,236,16,180.811889648438,5,0.00822491385042667,27,20.515266418457,1736.34106445313,-0.571363687515259,116.263114929199,9.33707560761832e-05,1095.548828125,Cold,Temperate Conifer Forests,TLB,ClosedForestEvergreenNeedle,28
101639,101639,Edge Hills Park,Canada_101639,118.852949899115,1995,3,II,A - Park,118.852934664402,North America,Canada,237,23,242.333206176758,5,0.00628309464082122,27,25.1841087341309,1392.91418457031,3.72174906730652,40.0282325744629,0.0249146148562431,1650.7314453125,Cold,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101641,101641,Flat Lake Park,Canada_101641,42.7495125053674,1995,3,II,A - Park,42.7494442451021,North America,Canada,238,23,232.518890380859,5,0.0125145763158798,26,25.8634929656982,1080.95190429687,4.69001770019531,36.4912834167481,0.0381141752004623,1416.10424804688,Cold,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101642,101642,Gilnockie Park,Canada_101642,28.1486540969495,1995,3,II,A - Park,28.1486276620095,North America,Canada,239,5,243.646347045898,5,0.00401437329128385,26,27.335168838501,1393.00476074219,4.2981333732605,82.113639831543,0.000473406631499529,2491.73071289063,Cold,Temperate Conifer Forests,TMC,ClosedForestEvergreenNeedle,28
101643,101643,Gladstone Park,Canada_101643,395.092890926674,1995,3,II,A - Park,395.092590411694,North America,Canada,240,17,237.371871948242,5,0.00629954831674695,26,27.046293258667,1359.95532226563,4.61982011795044,75.4060287475586,0.00537906028330326,2267.8408203125,Cold,Temperate Conifer Forests,TMB,ClosedForestEvergreenNeedle,28
101644,101644,Goat Range Park,Canada_101644,790.990398861816,1995,3,II,A - Park,790.990451624191,North America,Canada,241,5,207.219589233398,5,0.00774146942421794,27,22.8903331756592,1818.27978515625,0.689960777759552,126.726470947266,0.000909787137061357,1257.20275878906,Cold,Temperate Conifer Forests,TMC,ClosedForestEvergreenNeedle,28
101645,101645_A,God'S Pocket Marine Park,NA_101645_A,5.50046201100734,1995,3,II,A - Park,5.50046200857775,"","",242,23,292.601501464844,,0.00273175910115242,15,19.0274810791016,34.8599853515625,9.13096141815186,167.455307006836,0,2060.84497070313,Temperate,"",TMN,ClosedForestEvergreenNeedle,28
101646,101646_A,Gowlland Tod Park,Canada_101646_A,9.52651964294717,1995,3,II,A - Park,9.52652331057069,North America,Canada,243,23,452.72705078125,5,0.360006272792816,9,24.1540699005127,174.883010864258,10.0110015869141,104.417465209961,0.000161573087098077,3009.86865234375,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101647,101647,Granby Park,Canada_101647,413.165335957536,1995,3,II,A - Park,413.165569691143,North America,Canada,244,17,237.371856689453,5,0.0055185747332871,27,23.9318466186523,1758.09033203125,1.75734984874725,93.6681365966797,0.000712187204044312,1795.76965332031,Cold,Temperate Conifer Forests,TMB,ClosedForestEvergreenNeedle,28
101649,101649,Say Nuth Khaw Yum Park [A.K.A. Indian Arm Park],Canada_101649,66.9241046851265,1995,3,II,A - Park,66.9238382877919,North America,Canada,246,23,721.651916503906,5,0.131992027163506,15,24.2380676269531,640.281372070313,7.0250186920166,254.825866699219,0.00115986552555114,2549.77880859375,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101650,101650,Itcha Ilgachuz Park,Canada_101650,1084.89340812186,1995,2,Ib,A - Park,1084.89348234867,North America,Canada,247,10,186.55012512207,5,0.00134133186656982,27,19.1470928192139,1660.88513183594,-0.2014279961586,62.7454872131348,0.003607023274526,1374.01867675781,Cold,Temperate Conifer Forests,TLD,ClosedForestEvergreenNeedle,28
101651,101651_A,Jedediah Island Marine Park,NA_101651_A,2.93145560283504,1995,3,II,A - Park,2.93145556323866,"","",248,23,441.301391601563,,0.086809977889061,9,22.1495418548584,7.58174705505371,11.1805896759033,82.2711563110352,0,2208.3984375,Temperate,"",TMN,ClosedForestEvergreenNeedle,28
101652,101652,Junction Sheep Range Park,Canada_101652,47.7804670226988,1995,3,II,A - Park,47.7803061058113,North America,Canada,249,23,240.484390258789,5,0.0124254878610373,7,29.0818367004395,559.633728027344,6.62815666198731,31.2433490753174,0.000107855223177467,1197.17456054688,Arid,Temperate Conifer Forests,TMN,HerbacousVeg,28
101653,101653,Kianuko Park,Canada_101653,116.583084892608,1995,3,II,A - Park,116.583192547695,North America,Canada,250,5,246.318801879883,5,0.00781215261667967,27,23.6105041503906,1752.68383789063,1.74004471302032,84.080680847168,0.00496861757710576,1766.02697753906,Cold,Temperate Conifer Forests,TMC,ClosedForestEvergreenNeedle,28
101654,101654,Kluskoil Lake Park,Canada_101654,156.973241659369,1995,3,II,A - Park,156.973007209013,North America,Canada,251,23,244.737213134766,5,0.00508927367627621,26,24.3580780029297,912.692138671875,4.30755376815796,31.8180885314941,0.0319276303052902,1816.55883789063,Cold,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101655,101655,Schoolhouse Lake Park,Canada_101655,50.5119866884688,1995,3,II,A - Park,50.512027727014,North America,Canada,252,17,241.561126708984,5,0.0140393981710076,26,26.5775966644287,962.688049316406,5.5274977684021,46.3312530517578,2.8617074349313e-05,2149.0439453125,Cold,Temperate Conifer Forests,TMB,ClosedForestEvergreenNeedle,28
101656,101656,Lockhart Creek Park,Canada_101656,37.3443918702716,1995,3,II,A - Park,37.3444088226175,North America,Canada,253,5,246.318786621094,5,0.0322889573872089,27,23.9279670715332,1691.96643066406,2.63719367980957,87.9035797119141,0.00926234107464552,1905.46875,Cold,Temperate Conifer Forests,TMC,ClosedForestEvergreenNeedle,28
101657,101657,Lower Nimpkish Park,NA_101657,2.38057634105041,1995,3,II,A - Park,2.38057297536907,"","",254,23,292.657653808594,5,0.0326932929456234,15,20.5608673095703,18.2104263305664,9.14879035949707,222.126251220703,0,3428.52783203125,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101658,101658,Marble Range Park,Canada_101658,192.354662367411,1995,3,II,A - Park,192.354398849191,North America,Canada,255,23,232.518905639648,5,0.0162126496434212,27,22.1911334991455,1780.03405761719,0.785414516925812,50.9801330566406,0.00638938136398792,2061.40478515625,Cold,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101659,101659_A,Marble River Park,Canada_101659_A,10.5452498221446,1995,3,II,A - Park,10.5452308896625,North America,Canada,256,23,292.601501464844,5,0.0037360202986747,15,21.8813018798828,54.3692626953125,9.11308097839355,208.366104125977,0,3083.54418945313,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101662,101662,Nazko Lake Park,Canada_101662,120.522191818672,1995,3,II,A - Park,120.521791621388,North America,Canada,258,16,260.501831054688,5,0.00419515185058117,27,24.5427341461182,1140.54174804688,3.87558579444885,29.5265083312988,0.0339487418532372,1501.69067382813,Cold,Temperate Conifer Forests,TLB,ClosedForestEvergreenNeedle,28
101663,101663,Nimpkish Lake Park,Canada_101663,39.2283861252774,1995,3,II,A - Park,39.2283495024252,North America,Canada,259,23,293.029083251953,5,2.18525910895551e-05,15,22.0680809020996,636.345947265625,6.60856533050537,275.500244140625,3.61325146513991e-05,2852.69482421875,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101665,101665,Purcell Wilderness Conservancy Park,Canada_101665,2019.42820708417,1974,3,II,A - Park,2019.42869740263,North America,Canada,261,16,217.732711791992,5,0.00467909034341574,27,21.5992431640625,2037.13208007813,-0.61592972278595,96.9061660766602,0.00144383043516427,1120.29565429688,Cold,Temperate Conifer Forests,TLB,ClosedForestEvergreenNeedle,49
101666,101666_A,Quatsino Park,Canada_101666_A,6.03062205006221,1995,3,II,A - Park,6.03058686047389,North America,Canada,262,23,292.601501464844,5,0.0032182140275836,15,21.0043354034424,31.5364112854004,9.36705684661865,195.174942016602,0,3220.56982421875,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101670,101670_A,Tahsish-Kwois Park,Canada_101670_A,109.851448270165,1995,2,Ib,A - Park,109.851549997713,North America,Canada,264,23,292.601501464844,5,0.00027812150074169,15,21.7160873413086,482.473693847656,7.31638956069946,315.518280029297,0.00197763671167195,2958.27001953125,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101671,101671,Nuntsi Park,Canada_101671,205.851707290096,1995,3,II,A - Park,205.851514514347,North America,Canada,265,22,234.031799316406,5,0.00208930135704577,27,24.1356754302979,1270.44982910156,3.05588936805725,28.7565135955811,0.0286676734685898,1823.02038574219,Cold,Temperate Conifer Forests,TLN,ClosedForestEvergreenNeedle,28
101672,101672,Tetrahedron Park,Canada_101672,60.5354468322498,1995,3,II,A - Park,60.5354560997729,North America,Canada,266,23,518.633422851563,5,0.00424458598718047,27,19.7165584564209,1149.36206054688,4.51054859161377,270.147033691406,0.000172283544088714,1810.61169433594,Cold,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101675,101675,West Arm Park,Canada_101675,263.207781889406,1995,3,II,A - Park,263.207963816283,North America,Canada,268,17,253.389373779297,5,0.0392936654388905,19,24.696907043457,1681.07922363281,2.69269323348999,93.4981307983398,0.0102831609547138,1519.40234375,Cold,Temperate Conifer Forests,TMB,ClosedForestEvergreenNeedle,28
101677,101677,Woss Lake Park,Canada_101677,65.2677374503419,1995,3,II,A - Park,65.2676819316105,North America,Canada,270,23,293.440216064453,5,6.22630104771815e-05,15,22.0916709899902,805.96826171875,5.57079410552979,293.206756591797,0,1954.57275390625,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,28
101679,101679_A,Juan De Fuca Park,Canada_101679_A,13.5782745537612,1996,3,II,A - Park,13.5782037776119,North America,Canada,272,23,367.839172363281,5,0.036668136715889,15,18.6742267608643,30.0212898254395,9.79513645172119,245.11784362793,0.000969033979345113,3502.00659179688,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
101684,101684,Blue River Black Spruce Park,Canada_101684,2.36440003926003,1996,3,II,A - Park,2.36440052925519,North America,Canada,274,17,192.396835327148,5,0.148187533020973,26,27.4238586425781,799.530090332031,6.90764236450195,88.9529342651367,0,2143.31274414063,Cold,Temperate Conifer Forests,TMB,ClosedForestEvergreenNeedle,27
101688,101688_A,Dixie Cove Marine Park,Canada_101688_A,1.12014403676354,1996,3,II,A - Park,1.12015439845943,North America,Canada,275,23,292.601501464844,5,0.00505691906437278,15,20.7511024475098,39.4845809936523,9.86469841003418,272.261413574219,0,2720.55102539063,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
101695,101695,Lac Du Bois Grasslands Protected Area,Canada_101695,156.774425089937,1996,3,II,Protected Area,156.774644123495,North America,Canada,276,4,281.472106933594,5,0.199361711740494,7,30.0233192443848,797.136291503906,7.55291175842285,28.0090751647949,0.00248391320928931,1831.77355957031,Arid,Temperate Conifer Forests,TLC,HerbacousVeg,27
101699,101699,Gold Muchalat Park,Canada_101699,6.44653063603391,1996,3,II,A - Park,6.4463443107507,North America,Canada,277,23,301.405151367188,5,0.0068384101614356,15,26.2839241027832,347.442749023438,8.11701583862305,203.288421630859,9.16836233955109e-06,3575.80932617188,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
101701,101701,Nitinat River Park,Canada_101701,1.59947917709174,1996,3,II,A - Park,1.59945092457276,North America,Canada,278,23,367.839172363281,5,0.0327550247311592,15,25.2343311309815,70.645866394043,10.0556039810181,204.38459777832,0,3631.44165039063,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
101705,101705_A,Nuchatlitz Park,Canada_101705_A,4.9370196189367,1996,3,II,A - Park,4.93697104457164,North America,Canada,279,23,301.405151367188,5,0.0109554519876838,15,17.8809013366699,5.45276212692261,9.95314502716064,285.081726074219,0,2703.115234375,Temperate,Temperate Conifer Forests,TMN,ClosedForestEvergreenNeedle,27
