term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,olson_biome,clean_term,sdt_error,sig_pn
human_modification,0.00256615482890883,0.112995347225543,0.023153208788639,0.000351446023288183,0.00478086363452948,significant,mean_evi,"Temperate Grasslands, Savannas & Shrublands",Human Modification,0.00112995347225543,Sig. Positive
(Intercept),0.0505567340486262,0.864943258152466,5.14382990069774e-09,0.0336038461888379,0.0675096219084146,significant,mean_evi,Montane Grasslands & Shrublands,Intercept,0.00864943258152466,Sig. Positive
mean_n_depo_zhu,0.00298839333012783,0.223266320141953,0.180753004636881,-0.00138762654465445,0.00736441320491011,non-significant,mean_evi,Montane Grasslands & Shrublands,Nitrogen Deposition (Zhu),0.00223266320141953,Non-Significant
mat_coef,-0.00524752156545876,0.565221267643011,0.353210977155972,-0.0163258584112618,0.00583081528034426,non-significant,mean_evi,Montane Grasslands & Shrublands,MAT Trend,0.00565221267643011,Non-Significant
max_temp_coef,0.000356805914502682,0.36346453951495,0.921799894453476,-0.00676709905999034,0.00748071088899571,non-significant,mean_evi,Montane Grasslands & Shrublands,Max Temp Trend,0.0036346453951495,Non-Significant
map_coef,-0.00396149752579145,0.314401938328499,0.207680693294854,-0.01012377551703,0.00220078046544713,non-significant,mean_evi,Montane Grasslands & Shrublands,MAP Trend,0.00314401938328499,Non-Significant
human_modification,0.0101074682739485,0.171553178414121,3.88453383422334e-09,0.00674502597703176,0.0134699105708653,significant,mean_evi,Montane Grasslands & Shrublands,Human Modification,0.00171553178414121,Sig. Positive
(Intercept),0.0550311797766935,0.822754857043765,2.27567179728359e-11,0.0389051845786358,0.0711571749747513,significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Intercept,0.00822754857043765,Sig. Positive
mean_n_depo_zhu,0.00855508535914403,0.417057639826863,0.0402432743729475,0.000380755618537504,0.0167294150997505,significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Nitrogen Deposition (Zhu),0.00417057639826863,Sig. Positive
mat_coef,-0.0115625483962304,0.537907404870083,0.0315961240884546,-0.022105533531684,-0.00101956326077677,significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAT Trend,0.00537907404870083,Sig. Negative
max_temp_coef,-0.000737796108021372,0.464879123299465,0.87390028596554,-0.00984942692469088,0.00837383470864813,non-significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Max Temp Trend,0.00464879123299465,Non-Significant
map_coef,-0.00134254812862545,0.311247437501272,0.666219861756283,-0.00744299790365038,0.00475790164639948,non-significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAP Trend,0.00311247437501272,Non-Significant
human_modification,-0.00518209356051981,0.144451236364459,0.000334260941211563,-0.0080133377932632,-0.00235084932777642,significant,mean_evi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Human Modification,0.00144451236364459,Sig. Negative
(Intercept),0.0215887881759823,0.74215022112883,0.00362742274168523,0.00704264384185726,0.0361349325101074,significant,mean_evi,Deserts & Xeric Shrublands,Intercept,0.0074215022112883,Sig. Positive
mean_n_depo_zhu,0.00761339970948643,0.119473691385058,1.87032285355031e-10,0.00527171535833929,0.00995508406063358,significant,mean_evi,Deserts & Xeric Shrublands,Nitrogen Deposition (Zhu),0.00119473691385058,Sig. Positive
mat_coef,-0.00290615676852779,0.470178555892866,0.53651353313815,-0.012121656464028,0.00630934292697239,non-significant,mean_evi,Deserts & Xeric Shrublands,MAT Trend,0.00470178555892866,Non-Significant
max_temp_coef,-0.00763415325256089,0.257886869257225,0.00307456664995369,-0.0126887358900025,-0.00257957061511929,significant,mean_evi,Deserts & Xeric Shrublands,Max Temp Trend,0.00257886869257225,Sig. Negative
map_coef,-0.00476154626324932,0.214004556636674,0.0260857199089615,-0.00895603557332812,-0.000567056953170512,significant,mean_evi,Deserts & Xeric Shrublands,MAP Trend,0.00214004556636674,Sig. Negative
human_modification,0.00716615181460164,0.106195701016581,1.50839834770425e-11,0.00508471607467665,0.00924758755452664,significant,mean_evi,Deserts & Xeric Shrublands,Human Modification,0.00106195701016581,Sig. Positive
(Intercept),0.0314996866564193,0.87846764654924,0.000336403387864806,0.0142817207840542,0.0487176525287844,significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Intercept,0.0087846764654924,Sig. Positive
mean_n_depo_zhu,0.035205471213323,0.338826423457356,2.89678203091585e-25,0.0285644733135588,0.0418464691130872,significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Nitrogen Deposition (Zhu),0.00338826423457356,Sig. Positive
mat_coef,-0.0125080690717124,0.61161240679726,0.0408501150703838,-0.0244956722449387,-0.000520465898486073,significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,MAT Trend,0.0061161240679726,Sig. Negative
max_temp_coef,0.000544673486904212,0.42513104513101,0.898055308014967,-0.00778789499766358,0.008877241971472,non-significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Max Temp Trend,0.0042513104513101,Non-Significant
map_coef,-0.000331226375627981,0.211952839752268,0.875817935079166,-0.00448550203477244,0.00382304928351648,non-significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,MAP Trend,0.00211952839752268,Non-Significant
human_modification,0.00194073265730511,0.250681871245548,0.43882687083835,-0.00297263201910763,0.00685409733371785,non-significant,mean_evi,Tropical & Subtropical Moist Broadleaf Forests,Human Modification,0.00250681871245548,Non-Significant
(Intercept),0.0547689856427857,0.918898629141155,2.58893566882646e-09,0.036758572511619,0.0727793987739523,significant,mean_evi,Temperate Conifer Forests,Intercept,0.00918898629141155,Sig. Positive
mean_n_depo_zhu,0.0121708459783731,0.412819736285311,0.00320224395634309,0.00407957914718102,0.0202621128095652,significant,mean_evi,Temperate Conifer Forests,Nitrogen Deposition (Zhu),0.00412819736285311,Sig. Positive
mat_coef,-0.0189412036138388,0.919767098682273,0.0394825290292344,-0.0369686387480113,-0.000913768479666208,significant,mean_evi,Temperate Conifer Forests,MAT Trend,0.00919767098682273,Sig. Negative
max_temp_coef,-0.00298966364703505,0.462020223916362,0.517589340113015,-0.0120452600357957,0.00606593274172564,non-significant,mean_evi,Temperate Conifer Forests,Max Temp Trend,0.00462020223916362,Non-Significant
map_coef,-0.000723137752067438,0.777277202035327,0.925877528025875,-0.0159577709119598,0.014511495407825,non-significant,mean_evi,Temperate Conifer Forests,MAP Trend,0.00777277202035327,Non-Significant
human_modification,0.00729517769636791,0.228920209277879,0.00144237290349516,0.00280834159452148,0.0117820137982143,significant,mean_evi,Temperate Conifer Forests,Human Modification,0.00228920209277879,Sig. Positive
(Intercept),0.0647868116496082,1.53533478563047,2.44942147755199e-05,0.0346942498512509,0.0948793734479655,significant,mean_evi,Boreal Forests/Taiga,Intercept,0.0153533478563047,Sig. Positive
mean_n_depo_zhu,0.00133500573532588,0.67124264341991,0.842352772510322,-0.0118213500757044,0.0144913615463561,non-significant,mean_evi,Boreal Forests/Taiga,Nitrogen Deposition (Zhu),0.0067124264341991,Non-Significant
mat_coef,-0.00647963356310862,1.3203326430404,0.623599535665356,-0.0323581533667005,0.0193988862404832,non-significant,mean_evi,Boreal Forests/Taiga,MAT Trend,0.013203326430404,Non-Significant
max_temp_coef,-0.00922920973590933,0.555566057763892,0.0966728719540806,-0.0201183044680816,0.00165988499626295,non-significant,mean_evi,Boreal Forests/Taiga,Max Temp Trend,0.00555566057763892,Non-Significant
map_coef,-0.0182961363147058,2.0909215243399,0.38156226476486,-0.0592781981917679,0.0226859255623562,non-significant,mean_evi,Boreal Forests/Taiga,MAP Trend,0.020909215243399,Non-Significant
human_modification,0.00826683216889554,0.386941172603141,0.0326459385923566,0.000682785185873982,0.0158508791519171,significant,mean_evi,Boreal Forests/Taiga,Human Modification,0.00386941172603141,Sig. Positive
(Intercept),0.0640812083819908,1.7649743716379,0.000283046161593444,0.0294877106978879,0.0986747060660936,significant,mean_evi,Tundra,Intercept,0.017649743716379,Sig. Positive
mean_n_depo_zhu,-0.00479195874206186,0.477406903146216,0.315507511232824,-0.0141491340437277,0.00456521655960398,non-significant,mean_evi,Tundra,Nitrogen Deposition (Zhu),0.00477406903146216,Non-Significant
mat_coef,-0.00905984411279792,0.697771465288755,0.194159640763313,-0.0227361648324575,0.00461647660686168,non-significant,mean_evi,Tundra,MAT Trend,0.00697771465288755,Non-Significant
max_temp_coef,-0.00110145502291574,0.200661928882891,0.58307022220092,-0.00503442882902039,0.00283151878318892,non-significant,mean_evi,Tundra,Max Temp Trend,0.00200661928882891,Non-Significant
map_coef,0.0136086641560106,1.38739867933828,0.326660671336562,-0.0135843499590198,0.0408016782710409,non-significant,mean_evi,Tundra,MAP Trend,0.0138739867933828,Non-Significant
human_modification,-0.00566735056818508,0.526524721492872,0.281769669305121,-0.0159872351094454,0.0046525339730752,non-significant,mean_evi,Tundra,Human Modification,0.00526524721492872,Non-Significant
