Response,Model,Variable,Estimate,p,lower CI,upper CI
greenup,H4,Mixed,0.005,0.9272,-0.099,0.109
greenup,H4,Strict,0.023,0.675,-0.084,0.13
greenup,H4,Unprotected,-0.011,0.8252,-0.107,0.086
greenup,H4.1,Mixed,0.512,0,0.422,0.601
greenup,H4.1,Strict,0.488,0,0.396,0.58
greenup,H4.1,Unprotected,0.53,0,0.447,0.613
greenup,H5,Intercept,0.042,0.5295,-0.089,0.173
greenup,H5,PA Area,0.045,0.1421,-0.015,0.106
greenup,H5,PA Age,-0.013,0.5833,-0.06,0.034
greenup,H5.1,Intercept,0.458,0,0.355,0.56
greenup,H5.1,PA Area,0.022,0.3725,-0.027,0.072
greenup,H5.1,PA Age,0.003,0.888,-0.035,0.041
greenup,cold_tall,Intercept,0.047,0.5848,-0.12,0.213
greenup,cold_tall,Nitrogen Deposition,-0.09,0.0101,-0.159,-0.021
greenup,cold_tall,MAT Trend,-0.169,3e-04,-0.26,-0.078
greenup,cold_tall,Max Temp Trend,0.039,0.0963,-0.007,0.085
greenup,cold_tall,MAP Trend,-0.081,0.2052,-0.207,0.044
greenup,cold_tall,Human Modification,0.006,0.5871,-0.014,0.025
greenup,cold_short,Intercept,0.119,0.064,-0.007,0.246
greenup,cold_short,Nitrogen Deposition,-0.017,0.6168,-0.083,0.049
greenup,cold_short,MAT Trend,-0.017,0.6924,-0.104,0.069
greenup,cold_short,Max Temp Trend,0.008,0.6707,-0.027,0.043
greenup,cold_short,MAP Trend,-0.163,0.0575,-0.332,0.005
greenup,cold_short,Human Modification,0.006,0.7291,-0.029,0.041
greenup,not_cold_tall,Intercept,-0.049,0.4976,-0.192,0.093
greenup,not_cold_tall,Nitrogen Deposition,-0.016,0.5477,-0.068,0.036
greenup,not_cold_tall,MAT Trend,-0.104,0.1028,-0.229,0.021
greenup,not_cold_tall,Max Temp Trend,0.003,0.9504,-0.078,0.083
greenup,not_cold_tall,MAP Trend,-0.011,0.6818,-0.065,0.043
greenup,not_cold_tall,Human Modification,-0.069,0,-0.102,-0.036
greenup,not_cold_short,Intercept,0.011,0.8588,-0.112,0.134
greenup,not_cold_short,Nitrogen Deposition,-0.091,0.0043,-0.153,-0.028
greenup,not_cold_short,MAT Trend,0.127,0.1164,-0.032,0.286
greenup,not_cold_short,Max Temp Trend,-0.094,0.0631,-0.192,0.005
greenup,not_cold_short,MAP Trend,-0.028,0.4805,-0.104,0.049
greenup,not_cold_short,Human Modification,-0.01,0.5889,-0.044,0.025
