Response,Model,Variable,Estimate,lower CI,upper CI,p,dataset
greenup,cold_tall,MAT Trend,-0.169,-0.26,-0.078,3e-04,Grid
greenup,cold_tall,Max Temp Trend,0.039,-0.007,0.085,0.0963,Grid
greenup,cold_tall,MAP Trend,-0.081,-0.207,0.044,0.2052,Grid
greenup,cold_tall,Human Modification,0.006,-0.014,0.025,0.5871,Grid
greenup,cold_short,Intercept,0.119,-0.007,0.246,0.064,Grid
greenup,cold_short,Nitrogen Deposition,-0.017,-0.083,0.049,0.6168,Grid
greenup,cold_short,MAT Trend,-0.017,-0.104,0.069,0.6924,Grid
greenup,cold_short,Max Temp Trend,0.008,-0.027,0.043,0.6707,Grid
greenup,cold_short,MAP Trend,-0.163,-0.332,0.005,0.0575,Grid
greenup,cold_short,Human Modification,0.006,-0.029,0.041,0.7291,Grid
greenup,not_cold_tall,Intercept,-0.049,-0.192,0.093,0.4976,Grid
greenup,not_cold_tall,Nitrogen Deposition,-0.016,-0.068,0.036,0.5477,Grid
greenup,not_cold_tall,MAT Trend,-0.104,-0.229,0.021,0.1028,Grid
greenup,not_cold_tall,Max Temp Trend,0.003,-0.078,0.083,0.9504,Grid
greenup,not_cold_tall,MAP Trend,-0.011,-0.065,0.043,0.6818,Grid
greenup,not_cold_tall,Human Modification,-0.069,-0.102,-0.036,0,Grid
greenup,not_cold_short,Intercept,0.011,-0.112,0.134,0.8588,Grid
greenup,not_cold_short,Nitrogen Deposition,-0.091,-0.153,-0.028,0.0043,Grid
greenup,not_cold_short,MAT Trend,0.127,-0.032,0.286,0.1164,Grid
greenup,not_cold_short,Max Temp Trend,-0.094,-0.192,0.005,0.0631,Grid
greenup,not_cold_short,MAP Trend,-0.028,-0.104,0.049,0.4805,Grid
greenup,not_cold_short,Human Modification,-0.01,-0.044,0.025,0.5889,Grid
